LPN_Level                ItemId: 0373496   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 18                                                                                      
ITEM_Level               ItemId: 0373563   UnitsShipped: 672.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 71                                                                                      
ITEM_Level               ItemId: 0373639   UnitsShipped: 504.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 22                                                                                      
ITEM_Level               ItemId: 0373829   UnitsShipped: 168.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 73                                                                                      
ITEM_Level               ItemId: 0374272   UnitsShipped: 336.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 72                                                                                      
ITEM_Level               ItemId: 0374454   UnitsShipped: 480.0     (poLineQty) UnitsReceived: 192.0     poNbr: 19806  SequenceNumber: 62                                                                                      
ITEM_Level               ItemId: 0374454   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 288.0     poNbr: 19806  SequenceNumber: 29                                                                                      
ITEM_Level               ItemId: 0374454   UnitsShipped: 480.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 12                                                                                      
LPN_Level                ItemId: 0374454   UnitsShipped: 256.0     (poLineQty) UnitsReceived: 96.0      poNbr: 19806  SequenceNumber: 6                                                                                       
LPN_Level                ItemId: 0374454   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 96.0      poNbr: 19806  SequenceNumber: 37                                                                                      
LPN_Level                ItemId: 0374454   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 96.0      poNbr: 19806  SequenceNumber: 35                                                                                      
LPN_Level                ItemId: 0374454   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 96.0      poNbr: 19806  SequenceNumber: 33                                                                                      
LPN_Level                ItemId: 0374454   UnitsShipped: 224.0     (poLineQty) UnitsReceived: 96.0      poNbr: 19806  SequenceNumber: 31                                                                                      
ITEM_Level               ItemId: 0374488   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 160.0     poNbr: 19806  SequenceNumber: 30                                                                                      
ITEM_Level               ItemId: 0374488   UnitsShipped: 160.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 18                                                                                      
LPN_Level                ItemId: 0374488   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 160.0     poNbr: 19806  SequenceNumber: 11                                                                                      


ITEM_Level               ItemId: 0474004   UnitsShipped: 960.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 70                                                                                      
ITEM_Level               ItemId: 0474004   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 360.0     poNbr: 19806  SequenceNumber: 64                                                                                      
ITEM_Level               ItemId: 0474004   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 40                                                                                      
ITEM_Level               ItemId: 0474004   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 33                                                                                      

LPN_Level                ItemId: 0474004   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 360.0     poNbr: 19806  SequenceNumber: 25                                                                                      
LPN_Level                ItemId: 0474004   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 600.0     poNbr: 19806  SequenceNumber: 22                                                                                      
LPN_Level                ItemId: 0474004   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 21                                                                                      



ITEM_Level               ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 58                                                                                      
ITEM_Level               ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 180.0     poNbr: 19806  SequenceNumber: 55                                                                                      
ITEM_Level               ItemId: 0474006   UnitsShipped: 0.0       (poLineQty) UnitsReceived: 300.0     poNbr: 19806  SequenceNumber: 48                                                                                      
ITEM_Level               ItemId: 0474006   UnitsShipped: 600.0     (poLineQty) UnitsReceived: 0         poNbr: 19806  SequenceNumber: 39                                                                                      
